pr_number,pr_title,pr_author,pr_state,pr_created_at,pr_merged_at,pr_additions,pr_deletions,pr_changed_files_count,pr_labels,pr_head_branch,pr_base_branch,pr_review_decision,pr_is_draft,pr_review_count,pr_reviewer_logins,pr_commit_count,hours_to_merge,hours_to_first_review,authorship,is_bot_author,has_any_agent_marker,agent_marker_conversation_link,agent_marker_coauthored,agent_marker_try_pr,touches_tui_files,touches_snapshot_files,touches_test_files,snapshot_svgs_changed,has_linked_issue,linked_issue_count,linked_issue_numbers,linked_issue_authors,release_tag,release_date,h_pr_type,h_bug_severity,h_touches_tui,h_authorship,h_has_snapshot_changes,h_issue_reporter_type,llm_pr_type,llm_bug_severity,llm_touches_tui,llm_rationale
738,[codex] Preserve explicit LLM max token overrides,neubig,merged,2026-05-14T14:25:08Z,2026-05-14T22:11:05Z,25,18,2,,codex/llm-token-override-save-semantics,main,APPROVED,false,1,all-hands-bot,2,7.77,0.12,agent,false,true,false,false,true,true,false,true,0,false,0,,,,,ci,,true,agent,false,no-issue,bug-fix,ux-regression,true,"This PR fixes the TUI settings logic so that explicit LLM max_token overrides are preserved across model changes, correcting a user-facing configuration bug. It also updates tests to validate both empty and explicit override behaviors."
737,chore: Move good-first-issue labeler to SDK script for smaller blast radius,raymyers,merged,2026-05-14T14:21:40Z,2026-05-14T15:44:53Z,336,7,3,,feat/good-first-issue-labeler-sdk-script,main,APPROVED,false,2,"all-hands-bot,rbren",2,1.39,0.38,agent,false,true,true,false,true,false,false,true,0,false,0,,,,,other,,false,agent,false,no-issue,ci,,false,"This PR updates the GitHub Actions workflow by replacing a headless CLI invocation with a focused SDK script for issue labeling, adjusting CI automation rather than user-facing functionality or bug fixes."
732,fix(tui): disable markup in conversation notifications,zerone0x,merged,2026-05-09T02:42:25Z,2026-05-17T17:16:41Z,29,1,2,,fix/issue-627-notification-markup,main,APPROVED,false,2,"enyst,all-hands-bot",2,206.57,206.47,human,false,false,false,false,false,true,false,true,0,true,1,627,jpshackelford,,,bug-fix,other-fix,true,human,false,human,bug-fix,critical,true,This PR fixes a runtime crash (MarkupError) in the TUI conversation notification system by disabling Rich markup parsing and adds a regression test to prevent future regressions.
731,fix: preserve unicode in JSON output,zerone0x,merged,2026-05-09T02:39:35Z,2026-05-17T22:54:40Z,18,1,2,,fix/json-unicode-output-730,main,APPROVED,false,2,"enyst,all-hands-bot",2,212.25,212.14,agent,false,true,false,false,true,false,false,true,0,true,1,730,LeiYangGH,,,bug-fix,ux-regression,false,agent,false,human,bug-fix,ux-regression,false,"This change fixes a CLI bug where non-ASCII characters were escaped in JSON output, resulting in unreadable output. It adjusts json.dumps to preserve Unicode and adds a regression test to ensure correct visual output."
728,Bump version to 1.16.0,all-hands-bot,merged,2026-05-08T15:31:11Z,2026-05-08T15:41:06Z,27,27,27,,bump-version-1.16.0,main,APPROVED,false,2,"all-hands-bot,xingyaoww",1,0.17,0.04,bot,true,true,false,false,true,false,true,false,25,false,0,,,1.16.0,2026-05-08,version-bump,,false,bot,true,no-issue,version-bump,,false,"This PR solely updates the project version in pyproject.toml, regenerates lock files, and refreshes snapshot tests, without any functional or UI changes, making it a version bump."
724,Bump SDK packages to v1.21.0,all-hands-bot,merged,2026-05-07T19:32:56Z,2026-05-07T19:51:24Z,21,12,3,,bump-sdk-1.21.0,main,APPROVED,false,3,"all-hands-bot,xingyaoww",2,0.31,0.02,bot,true,true,false,false,true,false,false,false,0,false,0,,,1.16.0,2026-05-08,version-bump,,false,bot,false,no-issue,version-bump,,false,This is an automated version bump PR updating SDK packages to v1.21.0 without functional code changes. It does not touch any terminal UI components.
719,Bump SDK packages to v1.20.1,xingyaoww,merged,2026-05-06T17:15:51Z,2026-05-06T21:52:48Z,352,183,8,review-this,bump-sdk-1.20.1-reviewable,main,APPROVED,false,2,all-hands-bot,9,4.62,0.03,agent,false,true,false,false,true,false,true,true,2,false,0,,,1.16.0,2026-05-08,version-bump,,false,agent,true,no-issue,dependency-bump,,false,"This is an automated update of SDK package versions in pyproject.toml and the lockfile, with no functional changes to the application or its UI."
717,fix: emit valid JSONL from --json mode,si-stip-tessl,merged,2026-05-06T14:03:10Z,2026-05-08T05:09:15Z,9,16,2,,fix/json-callback-jsonl,main,APPROVED,false,1,xingyaoww,2,39.1,38.96,human,false,false,false,false,false,false,false,true,0,true,1,676,si-stip-tessl,1.16.0,2026-05-08,bug-fix,other-fix,false,human,false,self-filed,bug-fix,ux-regression,false,"This PR fixes the --json mode to emit single-line JSONL events instead of multi-line pretty-printed blocks, resolving a bug that broke downstream JSONL parsing."
715,feat: Add workspace-specific prompt history with fuzzy search modal,cbagwell,merged,2026-05-05T01:43:17Z,2026-05-13T17:40:43Z,1492,40,38,,feat/prompt-history,main,APPROVED,false,11,"enyst,all-hands-bot,cbagwell",8,207.96,0.04,human,false,false,false,false,false,true,true,true,28,true,1,614,DoubleDensity,,,feature,,true,human,true,human,feature,,true,"This PR implements a new workspace-specific prompt history storage and a Ctrl+R fuzzy search modal, adding and modifying TUI components (modals, widgets, input fields) for navigation and display enhancements."
714,tui: list 'openhands' provider first in settings dropdown,juanmichelini,merged,2026-05-04T18:04:20Z,2026-05-11T16:11:49Z,30,2,2,,openhands/fix-712-openhands-provider-first,main,APPROVED,false,2,"all-hands-bot,xingyaoww",3,166.12,92.86,agent,false,true,true,false,true,true,false,true,0,true,1,712,juanmichelini,,,other,,true,agent,false,self-filed,bug-fix,ux-regression,true,"This PR fixes the settings modal dropdown ordering in the TUI by pinning ‘openhands’ to the top, correcting a visual layout issue that caused the recommended provider to appear out of order."
711,fix: migrate login to V1 settings/users endpoints,hieptl,merged,2026-05-04T15:58:19Z,2026-05-04T16:10:19Z,75,12,2,,hieptl/app-1495,main,APPROVED,false,2,tofarr,1,0.2,0.05,human,false,false,false,false,false,false,false,true,0,true,1,705,neubig,1.16.0,2026-05-08,bug-fix,other-fix,false,human,false,human,bug-fix,critical,false,This PR fixes a crash in the login flow by updating deprecated v0 endpoints to the new v1 settings/users API. The bug was causing a JSON decode error and complete failure of the login command.
710,Bump version to 1.15.1,all-hands-bot,merged,2026-05-04T13:38:21Z,2026-05-04T14:40:30Z,27,27,27,,bump-version-1.15.1,main,APPROVED,false,2,"malhotra5,all-hands-bot",1,1.04,0.25,bot,true,true,false,false,true,false,true,false,25,false,0,,,1.16.0,2026-05-08,version-bump,,false,bot,true,no-issue,version-bump,,false,"This PR solely updates the project version in pyproject.toml, regenerates the lock file, and refreshes snapshot tests without altering any terminal UI code or functionality."
709,Bump openhands-sdk and openhands-tools to 1.19.1,all-hands-bot,merged,2026-05-04T13:26:00Z,2026-05-04T13:32:38Z,12,11,2,,bump-agent-sdk-1.19.1,main,APPROVED,false,2,"malhotra5,all-hands-bot",1,0.11,0.03,bot,true,true,false,false,true,false,false,false,0,false,0,,,1.15.1,2026-05-04,dependency-bump,,false,bot,false,no-issue,dependency-bump,,false,"This PR simply updates the version constraints for openhands-sdk and openhands-tools in pyproject.toml and regenerates uv.lock, making it a routine dependency bump with no code or UI changes."
704,Bump SDK packages to v1.19.0,xingyaoww,merged,2026-04-28T15:01:28Z,2026-04-28T15:52:56Z,96,42,3,,bump-sdk-1.19.0,main,APPROVED,false,2,all-hands-bot,2,0.86,0.33,agent,false,true,true,false,true,false,false,false,0,false,0,,,1.15.1,2026-05-04,version-bump,,false,agent,false,no-issue,version-bump,,false,"This PR purely updates SDK package versions in configuration files (pyproject.toml and lock file), with no changes to application logic or UI."
703,docs(acp): add docstring to _ACPContext Protocol,app/github-actions,merged,2026-04-27T09:59:39Z,2026-05-08T15:00:48Z,11,0,1,,fix/code-quality/add-acp-context-docstring,main,APPROVED,false,1,xingyaoww,3,269.02,259.11,bot,true,true,false,false,true,false,false,false,0,false,0,,,1.16.0,2026-05-08,feature,,false,bot,false,no-issue,docs,,false,"This PR solely adds a docstring to the `_ACPContext` Protocol without any functional changes or UI modifications, fitting the documentation category."
699,tests: isolate persistence directories to prevent writes to user home,cbagwell,merged,2026-04-26T02:24:49Z,2026-05-13T16:56:10Z,68,4,3,,fix/test-home-config-writes,main,APPROVED,false,7,"enyst,all-hands-bot,cbagwell",5,422.52,0.06,human,false,false,false,false,false,false,false,true,0,false,0,,,,,test,,false,human,false,no-issue,test,,false,"This PR enhances the test suite by adding an autouse fixture to isolate persistence directories and prevent writes to the user’s home, improving test reliability. It only changes test infrastructure and does not modify any terminal UI code."
698,fix(tui): preserve typed character when auto-focusing input,cbagwell,merged,2026-04-26T00:21:39Z,2026-05-13T13:29:42Z,282,0,3,,fix/preserve-typed-char-on-autofocus,main,APPROVED,false,4,"enyst,all-hands-bot,cbagwell",3,421.13,0.03,human,false,false,false,false,false,true,true,true,1,false,0,,,,,bug-fix,ux-regression,true,human,true,no-issue,bug-fix,ux-regression,true,"This PR corrects the TUI auto-focus logic to capture and insert typed characters into the prompt input rather than dropping them, fixing a user-facing behavior where keystrokes were lost."
697,settings: clear stale max tokens on model identity change,cbagwell,merged,2026-04-25T21:21:09Z,2026-04-29T15:13:59Z,93,7,3,,settings-max-tokens-reset,main,APPROVED,false,2,"malhotra5,all-hands-bot",2,89.88,0.03,human,false,false,false,false,false,true,false,true,0,false,0,,,1.15.1,2026-05-04,other,,true,human,false,no-issue,bug-fix,ux-regression,true,"This PR fixes an issue in the settings TUI where stale max token overrides from a previous model identity were retained, leading to incorrect metadata being applied. Clearing the stale value ensures the new model’s LiteLLM defaults are used correctly."
695,fix(tui): resolve 'no running event loop' in RichLogVisualizer (fixes #696),gwerneckp,merged,2026-04-25T13:33:36Z,2026-04-28T06:32:37Z,71,3,2,,fix/acp-event-loop-cli,main,APPROVED,false,2,"all-hands-bot,VascoSch92",3,64.98,57.83,human,false,false,false,false,false,true,false,true,0,true,1,696,gwerneckp,1.15.1,2026-05-04,bug-fix,critical,true,human,false,self-filed,bug-fix,critical,true,"This change fixes a crashing RuntimeError in the RichLogVisualizer when spawning subagents in the CLI/TUI, restoring proper event‐loop handling on the main thread. It directly touches TUI widget code to prevent the ‘no running event loop’ exception."
693,Bump version to 1.15.0,all-hands-bot,merged,2026-04-24T02:46:06Z,2026-04-24T02:59:29Z,28,28,27,,bump-version-1.15.0,main,APPROVED,false,2,"malhotra5,all-hands-bot",1,0.22,0.06,bot,true,true,false,false,true,false,true,false,25,false,0,,,1.15.1,2026-05-04,version-bump,,false,bot,true,no-issue,version-bump,,false,"This PR solely updates the project version in pyproject.toml, regenerates the lockfile, and refreshes snapshot tests, without changing any functional or UI code."
692,ci: run PR review on fork PRs,enyst,merged,2026-04-23T22:06:55Z,2026-04-25T01:30:30Z,36,13,1,review-this,enable-fork-pr-review-workflows,main,APPROVED,false,7,"enyst,all-hands-bot",6,27.39,1.05,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.15.1,2026-05-04,ci,,false,agent,false,no-issue,ci,,false,"This PR updates the GitHub Actions workflow to restore PR review on forked repositories by using both pull_request and pull_request_target events, clearly documenting the trigger logic."
691,chore: use OPENHANDS_BOT_GITHUB_PAT_INSTALL_WEBSITE for install-openhands-website,simonrosenberg,merged,2026-04-22T08:05:13Z,2026-04-23T19:28:05Z,6,11,1,,chore/use-openhands-bot-github-pat-public-install-website,main,APPROVED,false,12,"enyst,simonrosenberg,all-hands-bot,malhotra5",10,35.38,0.03,agent,false,true,false,false,true,false,false,false,0,true,1,689,simonrosenberg,1.15.0,2026-04-23,ci,,false,agent,false,self-filed,ci,,false,"This PR updates a GitHub Actions workflow by renaming secrets and cleaning up comments, which is a CI maintenance task and doesn’t touch any terminal UI code."
690,chore: add TODO for PAT rename in update-install-website.yml,simonrosenberg,merged,2026-04-22T08:03:03Z,2026-04-22T11:50:07Z,4,0,1,,chore/todo-update-install-website-pat,main,APPROVED,false,2,"enyst,all-hands-bot",2,3.78,0.02,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.15.0,2026-04-23,feature,,false,agent,false,no-issue,ci,,false,"This PR adds a reminder TODO comment to the GitHub Actions workflow for updating the website, touching only CI configuration and introducing no logic changes, so it’s classified as a CI chore."
688,tui: make history panel keyboard navigable,cbagwell,merged,2026-04-21T17:29:30Z,2026-04-23T16:06:05Z,399,167,13,,fix/history-panel-navigation,main,APPROVED,false,1,malhotra5,2,46.61,46.39,human,false,false,false,false,false,true,true,true,6,false,0,,,1.15.0,2026-04-23,other,,true,human,true,no-issue,feature,,true,"This PR enhances the terminal UI by converting the history panel to a ListView and updating focus behavior to support reliable keyboard navigation, adding new functionality rather than fixing a specific bug."
687,fix(settings): preserve native modal Tab navigation in Settings,cbagwell,merged,2026-04-21T14:02:30Z,2026-04-23T16:18:27Z,22,12,8,,fix/settings-tab-navigation,main,APPROVED,false,1,malhotra5,4,50.27,49.64,human,false,false,false,false,false,true,true,false,4,true,1,672,jpelletier1,1.15.0,2026-04-23,bug-fix,ux-regression,true,human,true,human,bug-fix,ux-regression,true,"This change restores native Tab navigation in the Settings modal of the TUI, fixing keyboard-only navigation that was previously broken (UX regression). It scopes app-level tab behavior away from modals and adjusts focus behavior to prevent users getting stuck."
686,tui: Add ESC/Ctrl+C/Ctrl-Q key bindings to modals,cbagwell,merged,2026-04-20T23:08:58Z,2026-04-23T15:45:27Z,99,29,11,,feat/esc-ctrl-c-bindings,main,APPROVED,false,1,malhotra5,2,64.61,64.51,human,false,false,false,false,false,true,true,false,7,true,1,669,xingyaoww,1.15.0,2026-04-23,feature,,true,human,true,human,bug-fix,ux-regression,true,"This PR restores and enhances key bindings (Escape, Ctrl-C, Ctrl-Q) in TUI modals to fix issue #669 where users couldn’t exit dialogs via common shortcuts, improving dialog interaction without altering core features."
685,chore: use OPENHANDS_BOT_GITHUB_PAT_PUBLIC,simonrosenberg,merged,2026-04-20T21:33:20Z,2026-04-22T08:05:38Z,7,7,3,,chore/use-openhands_bot_github_pat_public,main,APPROVED,false,2,"enyst,all-hands-bot",1,34.54,0.02,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.15.0,2026-04-23,ci,,false,agent,false,no-issue,ci,,false,"This PR solely renames secrets in GitHub Actions workflow files for PAT blast-radius reduction, affecting CI configuration without changing application logic."
684,chore: rename ALLHANDS_BOT_GITHUB_PAT to PAT_TOKEN,simonrosenberg,merged,2026-04-20T17:47:14Z,2026-04-20T18:41:04Z,13,13,4,,chore/rename-allhands-bot-github-pat-to-pat-token,main,APPROVED,false,4,"enyst,all-hands-bot",1,0.9,0.02,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.15.0,2026-04-23,ci,,false,agent,false,no-issue,ci,,false,"This PR renames a GitHub Actions secret across workflow files, representing a CI configuration update with no behavior or UI changes."
667,build: enforce minimum uv version,enyst,merged,2026-04-15T18:06:06Z,2026-04-15T19:09:49Z,18,11,3,,build/enforce-uv-0-11-6,main,APPROVED,false,4,"enyst,llamantino,all-hands-bot",3,1.06,0.06,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.15.0,2026-04-23,other,,false,agent,false,no-issue,dependency-bump,,false,"This PR updates and enforces the minimum required uv dependency version in the build workflow and documentation, so it primarily concerns dependency management rather than user-facing features or fixes."
666,cli: replace prompt_toolkit with rich for styled output,llamantino,merged,2026-04-15T09:13:39Z,2026-04-15T18:03:25Z,87,69,7,,fix-remove-prompt-toolkit,main,APPROVED,false,12,"enyst,llamantino,openhands-ai[bot]",4,8.83,3.68,human,false,false,false,false,false,false,false,true,0,false,0,,,1.15.0,2026-04-23,other,,false,human,false,no-issue,refactor,,true,"This PR refactors the CLI code by replacing prompt_toolkit with rich for styled terminal output, removing an unnecessary dependency and updating related tests and docs."
665,tests: prevent unawaited coroutine warnings in async tests,llamantino,merged,2026-04-14T21:25:59Z,2026-04-15T01:54:00Z,45,15,3,,fix-async-test-warnings,main,APPROVED,false,1,enyst,1,4.47,4.43,human,false,false,false,false,false,false,false,true,0,false,0,,,1.15.0,2026-04-23,test,,false,human,false,no-issue,test,,false,"This PR solely updates async test code to close mocked coroutines and eliminate unawaited coroutine warnings, without changing production logic or UI components."
663,makefile: avoid local .openhands writes during make test,llamantino,merged,2026-04-14T20:18:42Z,2026-04-17T17:55:39Z,3,3,1,,fix-make-test-home-isolation,main,APPROVED,false,1,enyst,1,69.62,69.61,human,false,false,false,false,false,false,false,false,0,false,0,,,1.15.0,2026-04-23,test,,false,human,false,no-issue,bug-fix,polish,false,"This change fixes an unintended side effect in the Makefile that wrote to the user’s ~/.openhands directory during tests, improving test isolation without affecting any feature or UI. It’s a developer-facing polish rather than a visible user regression or crash fix."
662,Bump SDK packages to v1.17.0,all-hands-bot,merged,2026-04-13T19:47:46Z,2026-04-13T20:59:25Z,23,19,4,review-this,bump-sdk-1.17.0,main,APPROVED,false,7,"all-hands-bot,xingyaoww",4,1.19,0.06,bot,true,true,false,false,true,false,false,true,0,false,0,,,1.15.0,2026-04-23,version-bump,,false,bot,false,no-issue,dependency-bump,,false,"This automated PR updates the SDK packages to version 1.17.0 by modifying dependency entries in the project files and lockfile, with no UI changes."
658,fix(settings): reset max_input_tokens on model change,cbagwell,merged,2026-04-13T15:20:37Z,2026-04-13T21:09:27Z,74,3,2,,fix/refresh-max-input-tokens-on-model-change,main,APPROVED,false,3,"enyst,cbagwell",4,5.81,4.34,human,false,false,false,false,false,true,false,true,0,false,0,,,1.15.0,2026-04-23,bug-fix,ux-regression,true,human,false,no-issue,bug-fix,ux-regression,true,"This change fixes a settings-screen bug where the max_input_tokens value was improperly carried over between models, resulting in incorrect token limits. It updates the TUI settings utility logic and corresponding tests to reset the value on model change, restoring correct behavior."
657,fix(setup): make Console injectable for better testability,app/github-actions,merged,2026-04-13T09:51:28Z,2026-04-13T11:50:13Z,5,1,1,,fix/code-quality/setup-optional-console,main,APPROVED,false,1,enyst,2,1.98,1.84,bot,true,true,false,false,true,false,false,false,0,false,0,,,1.15.0,2026-04-23,bug-fix,other-fix,false,bot,false,no-issue,refactor,,false,"This change refactors the setup_conversation function to accept an injectable Console for improved testability, adjusting internal code without introducing new features or bug fixes."
654,ci: retire Blacksmith from all GitHub Actions workflows,raymyers,merged,2026-04-09T13:04:37Z,2026-04-09T13:27:39Z,12,12,9,,remove-blacksmith,main,APPROVED,false,2,"all-hands-bot,mamoodi",1,0.38,0.29,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.15.0,2026-04-23,ci,,false,agent,false,no-issue,ci,,false,"This PR updates GitHub Actions workflows by removing Blacksmith runner references and replacing them with standard GitHub-hosted runners, which is a CI configuration change."
648,feat: Register built-in subagents before conversation start,VascoSch92,merged,2026-04-06T12:58:13Z,2026-05-01T14:30:00Z,19,0,3,,vasco/subagents,main,APPROVED,false,2,"malhotra5,all-hands-bot",4,601.53,0.04,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.15.1,2026-05-04,feature,,false,agent,false,no-issue,feature,,false,"This PR adds new functionality by registering built-in subagents before conversation start across all setup paths, enhancing agent capabilities. It introduces a feature rather than fixing a bug, refactoring code, or modifying UI components."
645,fix(tui): correct typo 'converastion' in notification message,app/github-actions,merged,2026-04-06T09:37:56Z,2026-04-06T09:56:12Z,1,1,1,,fix/code-quality/typo-conversation,main,APPROVED,false,1,enyst,2,0.3,0.18,bot,true,true,false,false,true,true,false,false,0,false,0,,,1.15.0,2026-04-23,bug-fix,polish,true,bot,false,no-issue,bug-fix,polish,true,"This PR fixes a typo in a terminal UI notification message, correcting ‘converastion’ to ‘conversation’. It’s a minor textual bug fix with no functional impact, so it’s classified as polish."
643,feat(cloud): Migrate openhands cloud to V1 API endpoints,sjathin,merged,2026-04-03T19:57:12Z,2026-04-07T20:15:51Z,473,29,10,,open-hands-cli-629,main,APPROVED,false,6,"jpshackelford,sjathin",2,96.31,16.56,agent,false,true,true,false,false,false,false,true,0,true,1,629,jpelletier1,,,feature,,false,agent,false,human,feature,,false,"This PR implements a new feature by migrating the OpenHands Cloud CLI from V0 to V1 API endpoints, updating request/response payloads and adding helper methods. It also includes comprehensive tests for the new endpoint behavior."
638,Bump version to 1.14.0,all-hands-bot,merged,2026-04-02T17:31:48Z,2026-04-02T17:49:13Z,32,28,27,,bump-version-1.14.0,main,APPROVED,false,2,"malhotra5,all-hands-bot",1,0.29,0.04,bot,true,true,false,false,true,false,true,false,25,false,0,,,1.15.0,2026-04-23,version-bump,,false,bot,true,no-issue,version-bump,,false,"This PR solely updates the project version to 1.14.0, regenerates the lock file, and refreshes snapshot tests without touching any application logic or UI code."
637,Bump SDK packages to v1.16.1,all-hands-bot,merged,2026-04-02T15:22:26Z,2026-04-02T17:18:41Z,24,14,2,,bump-sdk-1.16.1,main,APPROVED,false,2,"all-hands-bot,xingyaoww",1,1.94,0.03,bot,true,true,false,false,true,false,false,false,0,false,0,,,1.14.0,2026-04-02,version-bump,,false,bot,false,no-issue,dependency-bump,,false,"This PR solely updates SDK package versions in pyproject.toml and lock files, automating a dependency version bump without any UI or code logic changes."
636,feat: ensure backward compatibility for persisted conversations with DelegateTool,VascoSch92,merged,2026-04-02T14:55:47Z,2026-04-13T16:56:33Z,396,26,7,,openhands/backward-compat-delegate-tool-635,main,APPROVED,false,8,"enyst,all-hands-bot,xingyaoww,VascoSch92",8,266.01,68.33,agent,false,true,true,false,true,false,false,true,0,true,1,635,VascoSch92,1.15.0,2026-04-23,feature,,false,agent,false,self-filed,feature,,false,"This PR adds new logic to detect and migrate persisted conversations from DelegateTool to TaskToolSet to maintain backward compatibility, introducing new feature behavior rather than fixing a bug. It modifies core tool resolution and associated tests without touching terminal UI code."
631,docs: add contributors section to README,jamiechicago312,merged,2026-04-02T01:14:32Z,2026-04-02T21:23:08Z,12,1,1,,add-contributors-section,main,APPROVED,false,2,"enyst,malhotra5",5,20.14,20.05,agent,false,true,true,false,false,false,false,false,0,false,0,,,1.15.0,2026-04-23,feature,,false,agent,false,no-issue,docs,,false,"This PR solely adds a contributors section to the README, which is purely documentation work and does not affect the code or UI."
