pr_number,changed_file,snapshot_dir
719,tests/snapshots/e2e/__snapshots__/test_iterative_refinement_case_a/TestIterativeRefinementCaseA.test_refinement_complete[cli447_hi_followup_iterative_case_a].svg,tests/snapshots/e2e/__snapshots__/
719,tests/snapshots/e2e/__snapshots__/test_iterative_refinement_case_b/TestIterativeRefinementCaseB.test_refinement_complete[cli447_hi_followup_iterative_case_b].svg,tests/snapshots/e2e/__snapshots__/
719,tests/snapshots/e2e/helpers.py,tests/snapshots/e2e/helpers.py
719,tests/snapshots/e2e/test_confirmation_mode.py,tests/snapshots/e2e/test_confirmation_mode.py
719,tests/snapshots/e2e/test_iterative_refinement_case_a.py,tests/snapshots/e2e/test_iterative_refinement_case_a.py
719,tests/snapshots/e2e/test_iterative_refinement_case_b.py,tests/snapshots/e2e/test_iterative_refinement_case_b.py
715,tests/snapshots/__snapshots__/test_history_search_snapshots/TestHistorySearchSnapshots.test_history_search_modal_filtered.svg,tests/snapshots/__snapshots__/test_history_search_snapshots/
715,tests/snapshots/__snapshots__/test_history_search_snapshots/TestHistorySearchSnapshots.test_history_search_modal_initial.svg,tests/snapshots/__snapshots__/test_history_search_snapshots/
715,tests/snapshots/e2e/__snapshots__/test_app_initial_state/TestAppInitialState.test_app_initial_state.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_app_with_typed_input/TestAppWithTypedInput.test_app_with_typed_input.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_auto_focus/TestAutoFocusPreservesCharacter.test_auto_focus_preserves_typed_character.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase1_initial_state[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase3_auto_low_med_selected[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase5_high_risk_action_confirmed[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase6_low_risk_auto_proceeds[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_creating_agent_plan/TestCreatingAgentPlan.test_creating_agent_plan_conversation[creating_agent_plan].svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_echo_hello_world/TestEchoHelloWorld.test_echo_hello_world_conversation.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase2_first_conversation.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase3_new_conversation.svg,tests/snapshots/e2e/__snapshots__/
