pr_number,pr_title,pr_type,has_snapshot_file_changes,num_commits,snapshot_ci_sequence,first_commit_ci,last_commit_ci,ever_failed,classification
738,[codex] Preserve explicit LLM max token overrides,bug-fix,False,2,"success,success",success,success,False,always_passed
737,chore: Move good-first-issue labeler to SDK script for smaller blast radius,ci,False,2,"cancelled,success",cancelled,success,False,always_passed
732,fix(tui): disable markup in conversation notifications,bug-fix,False,2,"none,success",none,success,False,always_passed
731,fix: preserve unicode in JSON output,bug-fix,False,2,"none,success",none,success,False,always_passed
728,Bump version to 1.16.0,version-bump,True,1,success,success,success,False,always_passed
724,Bump SDK packages to v1.21.0,version-bump,False,2,"success,success",success,success,False,always_passed
719,Bump SDK packages to v1.20.1,dependency-bump,True,9,"failure,failure,failure,failure,failure,failure,failure,success,success",failure,success,True,baseline_updated
717,fix: emit valid JSONL from --json mode,bug-fix,False,2,"cancelled,success",cancelled,success,False,always_passed
715,feat: Add workspace-specific prompt history with fuzzy search modal,feature,True,8,"failure,success,success,success,failure,none,success,success",failure,success,True,baseline_updated
714,tui: list 'openhands' provider first in settings dropdown,bug-fix,False,3,"success,success,success",success,success,False,always_passed
711,fix: migrate login to V1 settings/users endpoints,bug-fix,False,1,success,success,success,False,always_passed
710,Bump version to 1.15.1,version-bump,True,1,success,success,success,False,always_passed
709,Bump openhands-sdk and openhands-tools to 1.19.1,dependency-bump,False,1,success,success,success,False,always_passed
704,Bump SDK packages to v1.19.0,version-bump,False,2,"success,success",success,success,False,always_passed
703,docs(acp): add docstring to _ACPContext Protocol,docs,False,3,"none,failure,success",none,success,True,regression_caught
699,tests: isolate persistence directories to prevent writes to user home,test,False,5,"success,none,success,success,failure",success,failure,True,regression_caught
698,fix(tui): preserve typed character when auto-focusing input,bug-fix,True,3,"success,success,failure",success,failure,True,baseline_updated
697,settings: clear stale max tokens on model identity change,bug-fix,False,2,"success,success",success,success,False,always_passed
695,fix(tui): resolve 'no running event loop' in RichLogVisualizer (fixes #696),bug-fix,False,3,"none,success,success",none,success,False,always_passed
693,Bump version to 1.15.0,version-bump,True,1,success,success,success,False,always_passed
692,ci: run PR review on fork PRs,ci,False,6,"success,success,cancelled,success,success,success",success,success,False,always_passed
691,chore: use OPENHANDS_BOT_GITHUB_PAT_INSTALL_WEBSITE for install-openhands-website,ci,False,10,"success,cancelled,none,none,success,success,cancelled,success,success,success",success,success,False,always_passed
